dwell,node_id,pickup,request,ID,geometry,x,y
60,96684,2699.15358627,2581.50051696,96684,POINT (151.0754852295 -34.0177345276),151.07548523,-34.0177345276
60,92181,3018.60899229,2886.5887378,92181,POINT (151.0553283691 -34.0096855164),151.055328369,-34.0096855164
60,92279,3091.19257577,2666.56146473,92279,POINT (151.0557403564 -34.0106315613),151.055740356,-34.0106315613
60,91403,3208.39257584,2881.89401229,91403,POINT (151.0521087646 -34.011051178),151.052108765,-34.011051178
60,92261,3301.5183039,3283.29552599,92261,POINT (151.0556793213 -34.0131492615),151.055679321,-34.0131492615
60,92279,3383.80061201,3301.5183039,92279,POINT (151.0557403564 -34.0106315613),151.055740356,-34.0106315613
60,94052,3703.83778866,3208.39257584,94052,POINT (151.0641021729 -34.0124359131),151.064102173,-34.0124359131
60,96220,3922.68087624,3580.17715939,96220,POINT (151.0734558105 -34.0154075623),151.073455811,-34.0154075623
60,94761,4058.51125824,3572.77726013,94761,POINT (151.0672149658 -34.0134239197),151.067214966,-34.0134239197
